,Name,Year,Selling_Price,Km_Driven,Fuel,Seller_Type,Transmission,Owner,Brand,Model,Km_Driven_log,Selling_Price_log,Car_Age
628,Hyundai i20 Sportz 1.2,2013,350000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,i20Sportz,10.819778284410283,12.765688433465597,11
629,Maruti Alto 800 LXI,2014,114999,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,10.308952660644293,11.652678711655406,10
630,Hyundai i20 Sportz 1.2,2013,380000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,i20Sportz,10.819778284410283,12.84792653170257,11
631,Maruti Gypsy E MG410W ST,1995,95000,100000,Petrol,Individual,Manual,Second Owner,Maruti,GypsyE,11.512925464970229,11.461632170582678,29
633,Chevrolet Beat LT,2012,200999,90000,Petrol,Individual,Manual,Second Owner,Chevrolet,BeatLT,11.407564949312402,12.211055211904458,12
634,Maruti Omni E MPI STD BS IV,2014,229999,11451,Petrol,Individual,Manual,First Owner,Maruti,OmniE,9.34583234141334,12.345830240069793,10
637,Maruti Swift VDI,2018,600000,60000,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,11.002099841204238,13.304684934198283,6
639,Chevrolet Optra Magnum 2.0 LS,2009,150000,66000,Diesel,Individual,Manual,First Owner,Chevrolet,OptraMagnum,11.097410021008562,11.918390573078392,15
640,Maruti Eeco 5 Seater Standard BSIV,2019,380000,5000,Petrol,Individual,Manual,First Owner,Maruti,Eeco5,8.517193191416238,12.84792653170257,5
641,Maruti Swift 1.3 VXi,2006,80000,66508,Petrol,Individual,Manual,Second Owner,Maruti,Swift1.3,11.10507752016027,11.289781913656018,18
642,Honda Civic 1.8 MT Sport,2007,225000,55000,Petrol,Individual,Manual,Second Owner,Honda,Civic1.8,10.915088464214607,12.323855681186558,17
643,Tata Nano Lx BSIV,2012,75000,29900,Petrol,Individual,Manual,First Owner,Tata,NanoLx,10.305613759378778,11.225243392518447,12
645,Tata Indica Vista Quadrajet VX,2012,185000,85000,Diesel,Individual,Manual,First Owner,Tata,IndicaVista,11.350406535472453,12.128111104060462,12
646,Mahindra Scorpio 2.6 CRDe SLE,2011,425000,50000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio2.6,10.819778284410283,12.959844447906553,13
648,Maruti Zen Estilo LXI BSIII,2008,140000,90000,Petrol,Individual,Manual,Third Owner,Maruti,ZenEstilo,11.407564949312402,11.84939770159144,16
649,Maruti Swift Dzire AMT ZXI Plus BS IV,2017,710000,8000,Petrol,Individual,Automatic,First Owner,Maruti,SwiftDzire,8.987196820661973,13.473020249017498,7
650,Honda Amaze S AT i-Vtech,2015,450000,7900,Petrol,Individual,Automatic,First Owner,Honda,AmazeS,8.974618038455112,13.017002861746503,9
651,Datsun RediGO T Option,2017,210000,50000,Petrol,Individual,Manual,First Owner,Datsun,RediGOT,10.819778284410283,12.254862809699606,7
652,Maruti Alto K10 VXI,2016,270000,25000,Petrol,Individual,Manual,First Owner,Maruti,AltoK10,10.126631103850338,12.506177237980511,8
653,Maruti Alto LXi,2009,110000,20000,Petrol,Individual,Manual,First Owner,Maruti,AltoLXi,9.903487552536127,11.608235644774552,15
654,Maruti Swift VXI,2018,540000,17500,Petrol,Individual,Manual,First Owner,Maruti,SwiftVXI,9.769956159911606,13.199324418540456,6
655,Mahindra Renault Logan 1.4 GLX Petrol,2008,145000,25000,Petrol,Individual,Manual,First Owner,Mahindra,RenaultLogan,10.126631103850338,11.884489021402711,16
657,Hyundai i10 Magna LPG,2013,250000,88600,LPG,Individual,Manual,First Owner,Hyundai,i10Magna,11.391887136593173,12.429216196844383,11
658,Tata Venture EX,2012,110000,80000,Diesel,Individual,Manual,First Owner,Tata,VentureEX,11.289781913656018,11.608235644774552,12
659,Chevrolet Captiva LT,2008,250000,100000,Diesel,Individual,Manual,Fourth & Above Owner,Chevrolet,CaptivaLT,11.512925464970229,12.429216196844383,16
661,Chevrolet Aveo U-VA 1.2 LS,2010,140000,60000,Petrol,Individual,Manual,First Owner,Chevrolet,AveoU-VA,11.002099841204238,11.84939770159144,14
664,Hyundai Santro Xing GL PLUS CNG,2007,90000,80000,CNG,Individual,Manual,Third Owner,Hyundai,SantroXing,11.289781913656018,11.407564949312402,17
665,Hyundai Santro GLS I - Euro I,2001,55000,60000,Petrol,Individual,Manual,Third Owner,Hyundai,SantroGLS,11.002099841204238,10.915088464214607,23
666,Hyundai Verna CRDi,2007,155000,100000,Diesel,Individual,Manual,Fourth & Above Owner,Hyundai,VernaCRDi,11.512925464970229,11.951180395901384,17
668,Maruti Alto K10 2010-2014 VXI,2011,135000,90000,Petrol,Individual,Manual,First Owner,Maruti,AltoK10,11.407564949312402,11.813030057420567,13
670,Hyundai Verna 1.6 SX,2013,495000,100000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna1.6,11.512925464970229,13.112313041550827,11
672,Hyundai Verna CRDi,2008,250000,110000,Diesel,Individual,Manual,Second Owner,Hyundai,VernaCRDi,11.608235644774552,12.429216196844383,16
674,Honda City 1.5 V AT,2011,311000,70000,Petrol,Individual,Automatic,Second Owner,Honda,City1.5,11.156250521031495,12.647548191161372,13
675,Maruti Alto 800 VXI,2015,190000,70000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,11.156250521031495,12.154779351142624,9
677,Maruti Ritz LXI,2009,300000,15000,Petrol,Individual,Manual,First Owner,Maruti,RitzLXI,9.615805480084347,12.611537753638338,15
678,Honda Jazz VX,2018,600000,20000,Petrol,Individual,Manual,First Owner,Honda,JazzVX,9.903487552536127,13.304684934198283,6
679,Mahindra Scorpio SLE BSIII,2009,550000,100000,Diesel,Individual,Manual,First Owner,Mahindra,ScorpioSLE,11.512925464970229,13.217673557208654,15
680,Skoda Rapid 1.6 MPI AT Elegance Plus,2015,600000,70000,Petrol,Individual,Automatic,First Owner,Skoda,Rapid1.6,11.156250521031495,13.304684934198283,9
681,Maruti Alto 800 VXI,2018,195000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,8.517193191416238,12.180754837545884,6
682,Tata Nano LX,2013,58000,27974,Petrol,Individual,Manual,First Owner,Tata,NanoLX,10.23903078633925,10.968198289528557,11
683,Maruti Alto 800 VXI,2018,183000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,10.596634733096073,12.117241431823558,6
684,Maruti Zen Estilo 1.1 VXI BSIII,2007,95000,80000,Petrol,Individual,Manual,First Owner,Maruti,ZenEstilo,11.289781913656018,11.461632170582678,17
685,Maruti Wagon R LX Minor,2013,250000,38000,Petrol,Individual,Manual,First Owner,Maruti,WagonR,10.545341438708522,12.429216196844383,11
687,Tata Zest Revotron 1.2 XT,2014,400000,35000,Petrol,Individual,Manual,First Owner,Tata,ZestRevotron,10.46310334047155,12.89921982609012,10
688,Hyundai Verna 1.6 SX CRDi (O),2012,409999,60000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna1.6,11.002099841204238,12.923909999653127,12
690,Maruti Swift AMT VXI,2018,600000,18000,Petrol,Individual,Automatic,First Owner,Maruti,SwiftAMT,9.798127036878302,13.304684934198283,6
691,Honda Amaze SX i-VTEC,2016,600000,10000,Petrol,Individual,Manual,First Owner,Honda,AmazeSX,9.210340371976184,13.304684934198283,8
693,Toyota Etios GD,2016,625000,80000,Diesel,Individual,Manual,Second Owner,Toyota,EtiosGD,11.289781913656018,13.345506928718539,8
694,Hyundai Grand i10 Nios Magna CRDi,2020,700000,1400,Diesel,Individual,Manual,First Owner,Hyundai,Grandi10,7.24422751560335,13.458835614025542,4
695,Chevrolet Beat LS,2011,160000,60000,Petrol,Individual,Manual,First Owner,Chevrolet,BeatLS,11.002099841204238,11.982929094215963,13
696,Maruti Alto LX,2011,114999,60000,Petrol,Individual,Manual,Third Owner,Maruti,AltoLX,11.002099841204238,11.652678711655406,13
697,Maruti Wagon R LXI Minor,2009,150000,53000,Petrol,Individual,Manual,First Owner,Maruti,WagonR,10.87804719253426,11.918390573078392,15
698,Volkswagen Jetta 1.9 L TDI,2010,250000,100000,Diesel,Dealer,Manual,First Owner,Volkswagen,Jetta1.9,11.512925464970229,12.429216196844383,14
699,Hyundai Verna 1.6 SX,2012,390000,86000,Diesel,Dealer,Manual,Second Owner,Hyundai,Verna1.6,11.362102575235644,12.873902018105829,12
700,Renault Duster 85PS Diesel RxL,2015,650000,100000,Diesel,Individual,Manual,First Owner,Renault,Duster85PS,11.512925464970229,13.38472764187182,9
701,Hyundai Xcent 1.1 CRDi SX Option,2016,600000,30000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent1.1,10.308952660644293,13.304684934198283,8
703,Hyundai Santro Xing GL Plus LPG,2011,229999,60000,LPG,Individual,Manual,Second Owner,Hyundai,SantroXing,11.002099841204238,12.345830240069793,13
704,Maruti Ritz LDi,2016,299000,50000,Diesel,Individual,Manual,Second Owner,Maruti,RitzLDi,10.819778284410283,12.608198852372823,8
706,Hyundai Accent Executive,2012,180000,100000,Petrol,Individual,Manual,Third Owner,Hyundai,AccentExecutive,11.512925464970229,12.100712129872347,12
707,Hyundai Grand i10 1.2 Kappa Asta,2017,475000,42000,Petrol,Individual,Manual,First Owner,Hyundai,Grandi10,10.645424897265505,13.071070083016778,7
708,Hyundai Grand i10 CRDi Sportz,2015,325000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Grandi10,11.512925464970229,12.691580461311874,9
709,Honda City i VTEC V,2016,639000,28205,Petrol,Dealer,Manual,First Owner,Honda,Cityi,10.247254546174076,13.367659733359671,8
710,Maruti Celerio VXI AT,2017,415000,32670,Petrol,Dealer,Automatic,First Owner,Maruti,CelerioVXI,10.394212504595115,12.936033799212835,7
712,Maruti Ertiga VXI CNG,2013,525000,56228,CNG,Dealer,Manual,First Owner,Maruti,ErtigaVXI,10.937170132451657,13.17115354157376,11
713,Hyundai Verna 1.6 SX VTVT,2013,425000,59319,Petrol,Dealer,Manual,First Owner,Hyundai,Verna1.6,10.99068493838894,12.959844447906553,11
714,Maruti Vitara Brezza VDi,2016,699000,39503,Diesel,Dealer,Manual,First Owner,Maruti,VitaraBrezza,10.584131897372295,13.457406021215947,8
715,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2013,325000,35299,Petrol,Dealer,Manual,First Owner,Hyundai,Grandi10,10.471609913908228,12.691580461311874,11
716,Toyota Etios V,2011,275000,51687,Petrol,Dealer,Manual,First Owner,Toyota,EtiosV,10.852961578200516,12.524526376648708,13
717,Volkswagen Vento Petrol Highline AT,2011,269000,76259,Petrol,Dealer,Automatic,First Owner,Volkswagen,VentoPetrol,11.241890720291222,12.502466658583977,13
718,Volkswagen Polo Diesel Highline 1.2L,2013,399000,44049,Diesel,Dealer,Manual,First Owner,Volkswagen,PoloDiesel,10.693057929631047,12.896716695872,11
719,Mahindra KUV 100 mFALCON D75 K8,2017,475000,45087,Diesel,Dealer,Manual,First Owner,Mahindra,KUV100,10.716349235602204,13.071070083016778,7
720,Toyota Etios V,2011,249000,41125,Petrol,Dealer,Manual,First Owner,Toyota,EtiosV,10.624371488067673,12.425208175446844,13
722,Volkswagen Polo Petrol Highline 1.2L,2011,254999,54206,Petrol,Dealer,Manual,First Owner,Volkswagen,PoloPetrol,10.900546882407832,12.449014902564246,13
723,Skoda Rapid 1.6 MPI Active,2012,269000,52547,Petrol,Dealer,Manual,First Owner,Skoda,Rapid1.6,10.869463286188333,12.502466658583977,12
724,Maruti Ertiga ZDI,2014,665000,59110,Diesel,Dealer,Manual,First Owner,Maruti,ErtigaZDI,10.987155393818416,13.407542319637992,10
725,Maruti Wagon R Stingray LXI,2014,299000,54565,Petrol,Dealer,Manual,First Owner,Maruti,WagonR,10.90714793054719,12.608198852372823,10
726,Hyundai i20 Asta,2010,265000,47564,Petrol,Dealer,Manual,Second Owner,Hyundai,i20Asta,10.769831451557469,12.487485104968359,14
727,Volkswagen Polo Petrol Highline 1.2L,2010,211000,45143,Petrol,Dealer,Manual,Second Owner,Volkswagen,PoloPetrol,10.71759050806569,12.259613412458204,14
728,Skoda Superb 1.8 TSI,2013,599000,61624,Petrol,Dealer,Automatic,Second Owner,Skoda,Superb1.8,11.028806684032801,13.303016877097587,11
730,Hyundai Verna 1.6 SX CRDi (O),2014,550000,50000,Diesel,Individual,Manual,First Owner,Hyundai,Verna1.6,10.819778284410283,13.217673557208654,10
733,Maruti Swift VXI,2019,500000,20000,Petrol,Individual,Manual,First Owner,Maruti,SwiftVXI,9.903487552536127,13.122363377404328,5
734,Maruti Alto LXi,2010,140000,30000,Petrol,Individual,Manual,First Owner,Maruti,AltoLXi,10.308952660644293,11.84939770159144,14
735,Maruti Swift VDI,2013,325000,60000,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,11.002099841204238,12.691580461311874,11
736,Hyundai i20 Magna,2010,210000,90000,Petrol,Individual,Manual,Third Owner,Hyundai,i20Magna,11.407564949312402,12.254862809699606,14
737,Maruti Alto LXi,2008,110000,90000,Petrol,Individual,Manual,Second Owner,Maruti,AltoLXi,11.407564949312402,11.608235644774552,16
739,Maruti Alto 800 VXI,2017,229999,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,10.596634733096073,12.345830240069793,7
742,Tata Tiago XZA AMT,2018,525000,10980,Petrol,Dealer,Automatic,First Owner,Tata,TiagoXZA,9.30383071506352,13.17115354157376,6
743,Hyundai EON Era Plus,2018,325000,20629,Petrol,Dealer,Manual,First Owner,Hyundai,EONEra,9.934453131793008,12.691580461311874,6
745,Hyundai Grand i10 AT Asta,2015,400000,30000,Petrol,Individual,Automatic,First Owner,Hyundai,Grandi10,10.308952660644293,12.89921982609012,9
746,Maruti Ciaz VXi,2015,550000,69782,Petrol,Dealer,Manual,First Owner,Maruti,CiazVXi,11.153131375837628,13.217673557208654,9
747,Maruti 800 Std,2003,98000,54000,Petrol,Individual,Manual,First Owner,Maruti,800Std,10.896739325546411,11.49272275765271,21
749,Renault Lodgy 85PS RxL,2017,700000,60000,Diesel,Individual,Manual,First Owner,Renault,Lodgy85PS,11.002099841204238,13.458835614025542,7
751,Maruti Swift LDI BSIV,2015,490000,59385,Diesel,Dealer,Manual,First Owner,Maruti,SwiftLDI,10.991796948208341,13.102160670086809,9
752,Hyundai i20 2015-2017 Magna 1.2,2015,525000,70378,Petrol,Dealer,Manual,First Owner,Hyundai,i202015-2017,11.161635993307835,13.17115354157376,9
753,Maruti Wagon R LXI BS IV,2013,330000,55425,Petrol,Dealer,Manual,First Owner,Maruti,WagonR,10.922786034484512,12.706847933442663,11
754,Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,550000,78413,Diesel,Dealer,Manual,Second Owner,Mahindra,Bolero2011-2019,11.269745008919022,13.217673557208654,11
755,Mahindra Bolero Power Plus SLX,2018,790000,40890,Diesel,Dealer,Manual,First Owner,Mahindra,BoleroPower,10.618640813358688,13.579788224443204,6
756,Honda Brio S MT,2015,350000,34823,Petrol,Dealer,Manual,Second Owner,Honda,BrioS,10.458033366991662,12.765688433465597,9
758,Maruti Ciaz VDI SHVS,2017,750000,55545,Diesel,Dealer,Manual,First Owner,Maruti,CiazVDI,10.924948782015823,13.527828485512494,7
759,Honda Amaze EX i-Dtech,2014,409999,56541,Diesel,Dealer,Manual,First Owner,Honda,AmazeEX,10.942721317684738,12.923909999653127,10
760,Hyundai EON Magna Plus,2016,220000,43700,Petrol,Individual,Manual,First Owner,Hyundai,EONMagna,10.685103381083682,12.301382825334498,8
762,Hyundai EON Era Plus,2017,290000,20000,Petrol,Individual,Manual,First Owner,Hyundai,EONEra,9.903487552536127,12.577636201962656,7
763,Honda City i DTec SV,2014,600000,27483,Diesel,Dealer,Manual,First Owner,Honda,Cityi,10.221322910683318,13.304684934198283,10
764,Maruti Swift LXI,2019,470000,8000,Petrol,Individual,Manual,First Owner,Maruti,SwiftLXI,8.987196820661973,13.060487973686241,5
765,Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Individual,Manual,First Owner,Hyundai,i10Sportz,10.308952660644293,11.918390573078392,16
766,Maruti Alto 800 LXI,2014,180000,56207,Petrol,Dealer,Manual,Second Owner,Maruti,Alto800,10.936796583285576,12.100712129872347,10
767,Maruti Zen LXI,2006,80000,70000,Petrol,Individual,Manual,First Owner,Maruti,ZenLXI,11.156250521031495,11.289781913656018,18
769,Maruti Alto 800 LXI,2019,300000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,10.819778284410283,12.611537753638338,5
772,Volkswagen Polo 1.5 TDI Trendline,2011,220000,63657,Diesel,Dealer,Manual,First Owner,Volkswagen,Polo1.5,11.06126457437221,12.301382825334498,13
773,Mahindra Verito Vibe 1.5 dCi D4,2013,250000,60000,Diesel,Individual,Manual,First Owner,Mahindra,VeritoVibe,11.002099841204238,12.429216196844383,11
775,Volkswagen Vento Magnific 1.6 Highline,2013,380000,97248,Petrol,Dealer,Manual,First Owner,Volkswagen,VentoMagnific,11.48501969571652,12.84792653170257,11
776,Maruti Swift VDI,2012,450000,46000,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,10.736396675471232,13.017002861746503,12
777,Hyundai Verna 1.6 VTVT AT S Option,2016,770000,10000,Petrol,Individual,Automatic,First Owner,Hyundai,Verna1.6,9.210340371976184,13.554145793829866,8
778,Maruti Swift Dzire LDI,2018,550000,80000,Diesel,Individual,Manual,First Owner,Maruti,SwiftDzire,11.289781913656018,13.217673557208654,6
779,Tata New Safari DICOR 2.2 GX 4x2,2011,320000,100000,Diesel,Individual,Manual,Second Owner,Tata,NewSafari,11.512925464970229,12.676076274775909,13
780,Maruti SX4 Vxi BSIV,2013,400000,35000,Petrol,Individual,Manual,First Owner,Maruti,SX4Vxi,10.46310334047155,12.89921982609012,11
781,Maruti Celerio VXI AT,2017,450000,50000,Petrol,Individual,Automatic,First Owner,Maruti,CelerioVXI,10.819778284410283,13.017002861746503,7
782,Maruti SX4 ZDI,2011,220000,90000,Diesel,Individual,Manual,Third Owner,Maruti,SX4ZDI,11.407564949312402,12.301382825334498,13
784,Hyundai Verna 1.6 SX VTVT (O),2013,530000,89000,Petrol,Individual,Manual,Second Owner,Hyundai,Verna1.6,11.396391648714276,13.180632285528304,11
785,Maruti Swift Dzire VDI,2014,390000,60000,Diesel,Individual,Manual,Second Owner,Maruti,SwiftDzire,11.002099841204238,12.873902018105829,10
786,Fiat Grande Punto 1.3 Dynamic (Diesel),2012,185000,100000,Diesel,Individual,Manual,Second Owner,Fiat,GrandePunto,11.512925464970229,12.128111104060462,12
787,Maruti SX4 Vxi BSIV,2012,300000,100000,Petrol,Individual,Manual,Second Owner,Maruti,SX4Vxi,11.512925464970229,12.611537753638338,12
788,Maruti Swift VDI BSIV,2014,575000,90000,Diesel,Individual,Manual,Second Owner,Maruti,SwiftVDI,11.407564949312402,13.262125319779487,10
789,Maruti Wagon R Stingray VXI,2014,300000,75000,Petrol,Individual,Manual,First Owner,Maruti,WagonR,11.225243392518447,12.611537753638338,10
790,Toyota Etios Liva 1.4 VD,2017,425000,36000,Diesel,Dealer,Manual,First Owner,Toyota,EtiosLiva,10.491274217438248,12.959844447906553,7
791,Hyundai Xcent 1.2 Kappa SX,2016,350000,12000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent1.2,9.392661928770137,12.765688433465597,8
792,Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Dealer,Manual,First Owner,Honda,AmazeVX,9.47247384058159,13.217673557208654,7
793,Maruti Ciaz 1.4 AT Zeta,2017,500000,40000,Petrol,Individual,Automatic,First Owner,Maruti,Ciaz1.4,10.596634733096073,13.122363377404328,7
794,Mahindra Scorpio S4 4WD,2015,600000,60000,Diesel,Individual,Manual,First Owner,Mahindra,ScorpioS4,11.002099841204238,13.304684934198283,9
795,Mahindra Quanto C8,2013,300000,25000,Diesel,Individual,Manual,Second Owner,Mahindra,QuantoC8,10.126631103850338,12.611537753638338,11
797,Maruti Swift 1.3 VXI ABS,2015,475000,24600,Petrol,Dealer,Manual,First Owner,Maruti,Swift1.3,10.110501721920453,13.071070083016778,9
798,Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,First Owner,Maruti,WagonR,10.256992477269039,12.468436909997665,13
799,Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,350000,100000,Petrol,Individual,Manual,First Owner,Ford,Ecosport1.0,11.512925464970229,12.765688433465597,11
800,Mahindra XUV500 W8 2WD,2013,750000,41988,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500W8,10.645139142155688,13.527828485512494,11
801,Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner,Maruti,WagonR,10.32137518064285,12.100712129872347,15
802,Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner,Renault,KWIDClimber,8.943506132037239,12.765688433465597,7
803,Maruti Swift Dzire VDI,2017,611000,34400,Diesel,Dealer,Manual,First Owner,Maruti,SwiftDzire,10.44581184336149,13.322852238153732,7
804,Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner,Renault,KWIDRXL,9.825526011066415,12.691580461311874,7
805,Hyundai EON 1.0 Era Plus,2012,225000,48000,Petrol,Dealer,Manual,First Owner,Hyundai,EON1.0,10.778956289890028,12.323855681186558,12
806,Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,First Owner,Maruti,WagonR,10.273049106297938,12.611537753638338,10
807,Mahindra Bolero Power Plus SLX,2017,400000,50000,Diesel,Individual,Manual,Second Owner,Mahindra,BoleroPower,10.819778284410283,12.89921982609012,7
808,Mahindra XUV500 W8 2WD,2012,711000,53600,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500W8,10.889304347058893,13.474427708785377,12
810,Maruti Ertiga VXI,2014,500000,25000,Petrol,Individual,Manual,First Owner,Maruti,ErtigaVXI,10.126631103850338,13.122363377404328,10
811,Toyota Innova 2.5 G4 Diesel 8-seater,2007,250000,80000,Diesel,Individual,Manual,Second Owner,Toyota,Innova2.5,11.289781913656018,12.429216196844383,17
812,Maruti Alto 800 VXI,2017,150000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,10.819778284410283,11.918390573078392,7
813,Mahindra Scorpio 1.99 S10,2016,610000,15000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio1.99,9.615805480084347,13.321214236149494,8
814,Mahindra KUV 100 G80 K2,2018,450000,5000,Petrol,Individual,Manual,First Owner,Mahindra,KUV100,8.517193191416238,13.017002861746503,6
815,Hyundai i20 1.4 Asta Option,2017,744000,106000,Diesel,Individual,Manual,First Owner,Hyundai,i201.4,11.571194373094205,13.51979631381523,7
816,Chevrolet Spark 1.0,2008,120000,100000,Petrol,Individual,Manual,Third Owner,Chevrolet,Spark1.0,11.512925464970229,11.695247021764184,16
817,Renault KWID RXL,2016,220000,60000,Petrol,Individual,Manual,Third Owner,Renault,KWIDRXL,11.002099841204238,12.301382825334498,8
819,Maruti Celerio ZXI Optional AMT BSIV,2017,370000,82000,Petrol,Individual,Automatic,First Owner,Maruti,CelerioZXI,11.314474526246391,12.821258284620408,7
820,Fiat Palio D 1.9 EL PS,2003,55000,35000,Diesel,Individual,Manual,Second Owner,Fiat,PalioD,10.46310334047155,10.915088464214607,21
824,Maruti Alto 800 CNG LXI,2012,170000,97000,CNG,Individual,Manual,Second Owner,Maruti,Alto800,11.48246625748552,12.043553716032399,12
825,Hyundai Grand i10 Sportz,2015,350000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,Grandi10,11.407564949312402,12.765688433465597,9
826,Maruti Swift Dzire VXi,2009,250000,60000,Petrol,Individual,Manual,Third Owner,Maruti,SwiftDzire,11.002099841204238,12.429216196844383,15
827,Tata Indigo CR4,2013,170000,60000,Diesel,Individual,Manual,First Owner,Tata,IndigoCR4,11.002099841204238,12.043553716032399,11
829,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grandi10,10.126631103850338,13.217673557208654,5
830,Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Individual,Manual,First Owner,Honda,Brio1.2,9.615805480084347,12.89921982609012,7
831,Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner,Tata,NanoLx,9.903487552536127,11.695247021764184,13
833,Ford Figo Petrol Titanium,2010,275000,70000,Petrol,Individual,Manual,First Owner,Ford,FigoPetrol,11.156250521031495,12.524526376648708,14
834,Tata Zest Revotron 1.2T XE,2016,285000,90000,Petrol,Individual,Manual,First Owner,Tata,ZestRevotron,11.407564949312402,12.560244459250788,8
837,Hyundai Verna 1.6 SX CRDi (O),2013,620000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna1.6,11.156250521031495,13.337474757021274,11
839,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,650000,15000,Petrol,Individual,Manual,First Owner,Ford,FigoAspire,9.615805480084347,13.38472764187182,6
840,Maruti Ertiga VXI,2014,500000,35000,Petrol,Individual,Manual,First Owner,Maruti,ErtigaVXI,10.46310334047155,13.122363377404328,10
843,Toyota Etios Cross 1.2L G,2015,320000,60000,Petrol,Individual,Manual,First Owner,Toyota,EtiosCross,11.002099841204238,12.676076274775909,9
845,Mahindra KUV 100 mFALCON D75 K8 AW,2016,350000,90000,Diesel,Individual,Manual,First Owner,Mahindra,KUV100,11.407564949312402,12.765688433465597,8
846,Maruti Swift Dzire VXI,2015,400000,90000,Petrol,Individual,Manual,First Owner,Maruti,SwiftDzire,11.407564949312402,12.89921982609012,9
848,Hyundai i20 Asta 1.4 CRDi (Diesel),2009,250000,72000,Diesel,Individual,Manual,Second Owner,Hyundai,i20Asta,11.184421397998193,12.429216196844383,15
850,Maruti Zen LXI,1999,85000,70000,Petrol,Individual,Manual,Second Owner,Maruti,ZenLXI,11.156250521031495,11.350406535472453,25
851,Hyundai Santro LP zipPlus,2001,52000,50000,Petrol,Individual,Manual,Third Owner,Hyundai,SantroLP,10.819778284410283,10.858998997563564,23
853,Hyundai Verna 1.6 SX VTVT AT,2011,450000,60000,Petrol,Individual,Automatic,Third Owner,Hyundai,Verna1.6,11.002099841204238,13.017002861746503,13
854,Maruti Swift Dzire VXI 1.2 BS IV,2018,615000,40000,Petrol,Individual,Manual,First Owner,Maruti,SwiftDzire,10.596634733096073,13.329377546788654,6
855,Maruti SX4 ZDI Leather,2012,400000,60000,Diesel,Individual,Manual,Second Owner,Maruti,SX4ZDI,11.002099841204238,12.89921982609012,12
856,Tata Nano LX,2013,60000,40000,Petrol,Individual,Manual,First Owner,Tata,NanoLX,10.596634733096073,11.002099841204238,11
857,Maruti Ignis 1.2 Alpha BSIV,2017,500000,9161,Petrol,Individual,Manual,First Owner,Maruti,Ignis1.2,9.122710622015209,13.122363377404328,7
858,Honda Mobilio V i VTEC,2015,600000,45000,Petrol,Individual,Manual,First Owner,Honda,MobilioV,10.714417768752456,13.304684934198283,9
859,Hyundai Getz 1.3 GVS,2010,110000,110000,Petrol,Individual,Manual,First Owner,Hyundai,Getz1.3,11.608235644774552,11.608235644774552,14
860,Hyundai Santro Xing GL Plus,2013,175000,80000,Petrol,Individual,Manual,First Owner,Hyundai,SantroXing,11.289781913656018,12.072541252905651,11
861,Ford Fiesta Titanium 1.5 TDCi,2011,325000,100000,Diesel,Individual,Manual,Second Owner,Ford,FiestaTitanium,11.512925464970229,12.691580461311874,13
862,Maruti Swift Dzire LDI,2017,425000,90000,Diesel,Individual,Manual,First Owner,Maruti,SwiftDzire,11.407564949312402,12.959844447906553,7
863,Hyundai Accent GLE CNG,2009,160000,70000,CNG,Individual,Manual,Third Owner,Hyundai,AccentGLE,11.156250521031495,11.982929094215963,15
